74,-12.0,-47.0,-47.0,32.0,21.0,22.0,9.0,1.0
75,12.0,17.0,28.0,22.0,10.0,23.0,-1.0,5.0
76,-5.0,-26.0,-36.0,-4.0,-21.0,-53.0,-9.0,-2.0
77,5.0,28.0,-28.0,-62.0,-10.0,13.0,0.0,-2.0
78,4.0,58.0,-88.0,-38.0,-15.0,-1.0,-5.0,2.0
79,-32.0,-18.0,-5.0,-81.0,-40.0,-36.0,-12.0,-21.0
80,19.0,33.0,-39.0,33.0,18.0,33.0,14.0,26.0
81,-40.0,-10.0,-54.0,-19.0,-35.0,-16.0,-12.0,-21.0
82,-45.0,-128.0,-55.0,2.0,-7.0,-7.0,-12.0,-17.0
83,12.0,18.0,114.0,67.0,9.0,8.0,2.0,2.0
84,-18.0,-10.0,83.0,-15.0,-17.0,-21.0,-4.0,-9.0
85,4.0,39.0,-128.0,-49.0,0.0,21.0,5.0,3.0
86,-8.0,18.0,49.0,56.0,-1.0,-4.0,-7.0,-5.0
87,-1.0,34.0,3.0,0.0,-6.0,-11.0,0.0,1.0
88,10.0,29.0,43.0,-7.0,19.0,24.0,12.0,2.0
89,-21.0,-19.0,-27.0,-54.0,-11.0,-2.0,-2.0,-5.0
90,-12.0,-26.0,15.0,-70.0,-26.0,-9.0,-3.0,-5.0
91,0.0,0.0,6.0,37.0,5.0,3.0,5.0,0.0
92,2.0,47.0,-118.0,46.0,16.0,3.0,2.0,1.0
93,1.0,5.0,0.0,32.0,17.0,15.0,0.0,-4.0
94,-2.0,10.0,-122.0,52.0,-14.0,-32.0,-15.0,1.0
95,-4.0,-78.0,29.0,-28.0,11.0,10.0,8.0,2.0
96,-17.0,-38.0,73.0,-46.0,-9.0,-8.0,-4.0,-9.0
97,-1.0,3.0,-86.0,-40.0,-11.0,-5.0,-5.0,-4.0
98,29.0,13.0,0.0,8.0,22.0,20.0,17.0,15.0
99,-13.0,26.0,37.0,-4.0,-25.0,-7.0,-13.0,-9.0
100,-11.0,16.0,17.0,-9.0,14.0,13.0,5.0,-4.0
101,-5.0,-61.0,60.0,-6.0,-5.0,-3.0,3.0,-4.0
102,21.0,34.0,25.0,14.0,9.0,10.0,2.0,7.0
103,10.0,-34.0,-15.0,5.0,7.0,3.0,-2.0,7.0
104,-1.0,16.0,-14.0,11.0,-9.0,3.0,1.0,-3.0
105,4.0,6.0,12.0,-16.0,1.0,-11.0,0.0,3.0
